placeholder,wordNumber,tocflLevel,wordSimplified,wordTraditional,wordPinyin,wordType,wordTranslation
,188,1,为什么,為什麼,wèishénme ,(Adv),why
,189,1,回答,回答,huídá ,(VA),answer
,190,1,参加,參加,cānjiā ,(VA),join
,191,1,知道,知道,zhīdào ,(VS),know
,192,1,懂,懂,dǒng ,(VS),understand
,193,1,能,能,néng ,(Adv),able
,194,1,会,會,huì ,(VS),meeting
,195,1,可以,可以,kěyǐ ,(Adv),can
,196,1,休息,休息,xiūxí ,(VA),rest
,197,1,有趣,有趣,yǒuqù ,(VS),interesting
,198,1,决定,決定 ,juédìng ,(N),decide 
,199,1,张,張,zhāng ,(M),open
,200,1,图片,圖片,túpiàn ,(N),picture
,201,1,画/画儿,畫/畫兒,huà/huàr,(N),painting/painting
,202,1,画,畫,huà,(VA),painting
,203,1,意思,意思,yìsi ,(N),mean
,204,1,记得,記得,jìdé ,(VS),remember
,205,1,一些,一些,yīxiē ,(Det),some
,206,1,一点/一点儿,一點/一點兒,yīdiǎn/yīdiǎnr ,(Det),a little/a little bit
,207,1,房子,房子,fángzi ,(N),house
,208,1,房间,房間,fángjiān ,(N),room
,209,1,厨房,廚房,chúfáng ,(N),kitchen
,210,1,客厅,客廳,kètīng ,(N),living room
,211,1,门,門,mén ,(N),door
,212,1,窗/窗户,窗/窗戶,chuānghù ,(N),window/window
,213,1,楼,樓,lóu ,(M),building
,214,1,楼上,樓上,lóushàng ,(N),upstairs
,215,1,楼下,樓下,lóuxià ,(N),downstairs
,216,1,电梯,電梯,diàntī ,(N),elevator
,217,1,家具,家具,jiājù ,(N),furniture
,218,1,椅子,椅子,yǐzi ,(N),chair
,219,1,桌(子),桌(子),zhuō(zi) ,(N),table)
,220,1,沙发,沙發,shāfā ,(N),sofa
,221,1,床,床,chuáng ,(N),bed
,222,1,开,開,kāi ,(VA),open
,223,1,关,關,guān ,(VA),close
,224,1,电视(机),電視(機),diànshì(jī) ,(N),tv set
,225,1,冷气(机),冷氣(機),lěngqì(jī) ,(N),air conditioner
,226,1,洗澡,洗澡,xǐzǎo ,(VA),bath
,227,1,安静,安靜,ānjìng ,(VS),quiet
,228,1,不错,不錯,bùcuò ,(VS),good
,229,1,河,河,hé ,(N),river
,230,1,海,海,hǎi ,(N),ocean
,231,1,海边,海邊,hǎibiān ,(N),seaside
,232,1,湖,湖,hú ,(N),lake
,233,1,山,山,shān ,(N),mountain
,234,1,树,樹,shù ,(N),tree
,235,1,花/花儿,花/花兒,huā/huār,(N),flower/flower
,236,1,马,馬,mǎ ,(N),horse
,237,1,狗,狗,gǒu ,(N),dog
,238,1,鸟,鳥,niǎo,(N),bird
,239,1,猫,貓,māo ,(N),cat
,240,1,鸡,雞,jī ,(N),chicken
,241,1,鱼/鱼儿,魚/魚兒,yú/yúr ,(N),fish/fish
,242,1,太阳,太陽,tàiyáng ,(N),sun
,243,1,水,水,shuǐ ,(N),water
,244,1,天气,天氣,tiānqì ,(N),weather
,245,1,冷,冷,lěng ,(VS),cold
,246,1,热,熱,rè ,(VS),hot
,247,1,下雨,下雨,xiàyǔ ,(VA),rain
,248,1,下雪,下雪,xiàxuě ,(VA),snow
,249,1,风,風,fēng ,(N),wind
,250,1,穿,穿,chuān ,(VA),wear
,251,1,睡觉,睡覺,shuìjiào ,(VA),sleep
,252,1,起床,起床,qǐchuáng ,(VA),get up
,253,1,咖啡,咖啡,kāfēi ,(N),coffee
,254,1,茶,茶,chá ,(N),tea
,255,1,洗,洗,xǐ ,(VA),wash
,256,1,方便,方便,fāngbiàn ,(VS),convenient
,257,1,生活,生活,shēnghuó ,(N),life
,258,1,用,用,yòng ,(VA),use
,259,1,新年,新年,xīnnián ,(N),new year
,260,1,开始,開始,kāishǐ ,(VS),start
,261,1,运动,運動,yùndòng ,(VA),sports
,262,1,运动,運動 ,yùndòng ,(N),sports 
,263,1,游泳,游泳,yóuyǒng ,(VA),swim
,264,1,踢,踢,tī ,(VA),kick
,265,1,足球,足球,zúqiú ,(N),football
,266,1,打,打,dǎ ,(VA),beat
,267,1,篮球,籃球,lánqiú ,(N),basketball
,268,1,网球,網球,wǎngqiú ,(N),tennis
,269,1,棒球,棒球,bàngqiú ,(N),baseball
,270,1,比赛,比賽,bǐsài ,(VA),contest
,271,1,比赛,比賽 ,bǐsài ,(N),contest 
,272,1,骑,騎,qí ,(VA),ride
,273,1,脚踏车/自行车,腳踏車/自行車,jiǎotàchē/zìxíngchē ,(N),bicycle/bicycle
,274,1,跑,跑,pǎo ,(VA),run
,275,1,跑步,跑步,pǎobù ,(VA),running
,276,1,走,走,zǒu ,(VA),walk
,277,1,走路,走路,zǒulù ,(VA),walk
,278,1,电影,電影,diànyǐng ,(N),movie
,279,1,电影院,電影院,diànyǐngyuàn ,(N),cinema
,280,1,票,票,piào ,(N),ticket
,281,1,音乐,音樂,yīnyuè ,(N),music
,282,1,表演,表演,biǎoyǎn ,(N),performance
,283,1,看,看,kàn ,(VA),look
,284,1,上网,上網,shàngwǎng ,(VA),surf the internet
,285,1,以前,以前,yǐqián ,(N),before
,286,1,以后,以後,yǐhòu ,(N),after
,287,1,等,等,děng ,(VA),wait
,288,1,输,輸,shū ,(VA),lose
,289,1,赢,贏,yíng ,(VA),win
,290,1,有时候,有時候,yǒushíhòu ,(Adv),sometimes
,291,1,常常,常常,chángcháng ,(Adv),frequent
,292,1,久,久,jiǔ ,(VS),long
,293,1,先,先,xiān ,(Adv),first
,294,1,再,再,zài ,(Adv),again
,295,1,每,每,měi ,(Det),every
,296,1,次,次,cì ,(M),second-rate
,297,1,报纸,報紙,bàozhǐ ,(N),newspaper
,298,1,照片,照片,zhàopiàn ,(N),photo
,299,1,书,書,shū ,(N),book
,300,1,唱歌/唱歌儿,唱歌/唱歌兒,chànggē/chànggēr ,(VA),singing/singing
,301,1,玩/玩儿,玩/玩兒,wán/wánr ,(VA),play/play
,302,1,朋友,朋友,péngyǒu ,(N),friend
,303,1,介绍,介紹,jièshào ,(VA),introduce
,304,1,认识,認識,rènshi ,(VS),know
,305,1,谢谢,謝謝,xièxie,(VS),thanks
,306,1,不客气,不客氣,bùkèqì ,N/A,you're welcome
,307,1,对不起,對不起,duìbuqǐ ,N/A,sorry
,308,1,没关系,沒關係,méiguānxi ,(VS),it's okay
,309,1,再见,再見,zàijiàn ,(VA),goodbye
,310,1,请问,請問,qǐngwèn ,N/A,excuse me
,311,1,怎么样,怎麼樣,zěnmeyàng ,N/A,how about it
,312,1,礼物,禮物,lǐwù ,(N),gift
,313,1,欢迎,歡迎,huānyíng ,(VS),welcome
,314,1,晚会,晚會,wǎnhuì ,(N),party
,315,1,做,做,zuò ,(VA),do
,316,1,信,信,xìn ,(N),letter
,317,1,信封,信封,xìnfēng ,(N),envelope
,318,1,寄,寄,jì ,(VA),send
,319,1,接,接,jiē ,(VA),catch
,320,1,邮局,郵局,yóujú ,(N),post office
,321,1,银行,銀行,yínháng ,(N),bank
,322,1,警察,警察,jǐngchá ,(N),police
,323,1,坏,壞,huài ,(VS),bad
,324,1,帮忙,幫忙,bāngmáng ,(VA),help
,325,1,换,換,huàn ,(VA),change
,326,1,东西,東西,dōngxi ,(N),thing
,327,1,叫,叫,jiào ,(VA),call
,328,1,找,找,zhǎo ,(VA),try to find
,329,1,什么/什么,什麼/甚麼,shénme,(Det),what?
,330,1,吗,嗎,ma,(P),?
,331,1,呢,呢,ne ,(P),woolen cloth
,332,1,喂/喂,喂/喂,wéi/wèi,(P),hey
,333,1,吧,吧,ba ,(P),bar
,334,1,出租车,計程車,jìchéngchē ,(N),taxi
,335,1,地铁,地鐵,dìtiě ,(N),subway
,336,1,车站,車站,chēzhàn ,(N),station
,337,1,火车,火車,huǒchē ,(N),train
,338,1,飞机,飛機,fēijī ,(N),airplane
,339,1,飞机场/机场,飛機場/機場,fēijīchǎng/jīchǎng ,(N),airport/airport
,340,1,公共汽车/公车,公共汽車/公車,gōnggòngqìchē/gōngchē ,(N),bus/bus
,341,1,车(子),車(子),chē(zi) ,(N),car
,342,1,开车,開車,kāichē ,(VA),drive
,343,1,带,帶,dài ,(VA),bring
,344,1,去,去,qù ,(VA),go
,345,1,出去,出去,chūqù ,(VA),go out
,346,1,进来,進來,jìnlái ,(VA),come in
,347,1,回,回,huí ,(VA),return
,348,1,马路,馬路,mǎlù ,(N),road
,349,1,十字路口,十字路口,shízìlùkǒu ,(N),crossroads
,350,1,中间,中間,zhōngjiān ,(N),middle
,351,1,对面,對面,duìmiàn ,(N),opposite
,352,1,附近,附近,fùjìn ,(N),nearby
,353,1,旁边,旁邊,pángbiān,(N),beside
,354,1,后(面),後(面),hòu(miàn),(N),later
,355,1,前(面),前(面),qián(miàn) ,(N),front
,356,1,左边,左邊,zuǒbiān,(N),left
,357,1,右边,右邊,yòubiān,(N),right
,358,1,外面,外面,wàimiàn ,(N),outside
,359,1,里面,裡面,lǐmiàn ,(N),in
,360,1,下(面),下(面),xià(miàn),(N),under
,361,1,上(面),上(面),shàng(miàn),(N),above
,362,1,这,這,zhè ,(Det),this
,363,1,那,那,nà ,(Det),that
,364,1,哪,哪,nǎ ,(Det),where
,365,1,这里/这儿,這裡/這兒,zhèlǐ/zhèr ,(N),here/here
,366,1,那里/那儿,那裡/那兒,nàlǐ/nàr ,(N),there/there
,367,1,哪里/哪儿,哪裡/哪兒,nǎlǐ/nǎr ,(N),where/where
,368,1,怎么,怎麼,zěnme ,(Adv),how
,369,1,旅行,旅行,lǚxíng ,(VA),travel
,370,1,酒店,飯店,fàndiàn ,(N),restaurant
,371,1,旅馆,旅館,lǚguǎn ,(N),hostel
,372,1,地方,地方,dìfāng ,(N),place
,373,1,参观,參觀,cānguān ,(VA),visit
,374,1,远,遠,yuǎn ,(VS),far
,375,1,近,近,jìn ,(VS),close
,376,1,快,快,kuài ,(VS),quick
,377,1,慢,慢,màn ,(VS),slow
,378,1,站,站,zhàn ,(VA),stand
,379,1,坐,坐,zuò ,(VA),sit
,380,1,离,離,lí ,(VA),leave
,381,1,往,往,wǎng ,(Prep),past
,382,1,送,送,sòng ,(VA),deliver
,383,1,地图,地圖,dìtú ,(N),map
,384,1,过,過,guò ,(VA),pass
,385,1,拿,拿,ná ,(VA),take
,386,1,放,放,fàng ,(VA),put
,387,1,到,到,dào ,(VA),arrive
,388,1,照相机,照相機,zhàoxiàngjī ,(N),camera
,389,1,照相,照相,zhàoxiàng ,(VA),take pictures
,390,1,风景,風景,fēngjǐng ,(N),landscape
,391,1,眼睛,眼睛,yǎnjīng ,(N),eye
,392,1,身体,身體,shēntǐ ,(N),body
,393,1,头,頭,tóu ,(N),head
,394,1,头发,頭髮,tóufǎ ,(N),hair
,395,1,耳朵,耳朵,ěrduo,(N),ear
,396,1,手,手,shǒu ,(N),hand
,397,1,手指(头),手指(頭),shǒuzhǐ(tou),(N),finger
,398,1,肚子,肚子,dùzi ,(N),abdomen
,399,1,累,累,lèi ,(VS),tired
,400,1,健康,健康,jiànkāng ,(VS),healthy
,401,1,感冒,感冒,gǎnmào ,(VS),cold
,402,1,生病,生病,shēngbìng ,(VS),get ill
,403,1,受伤,受傷,shòushāng  ,(VS),injuried
,404,1,饿,餓,è ,(VS),hungry
,405,1,渴,渴,kě ,(VS),thirsty
,406,1,舒服,舒服,shūfu,(VS),comfortable
,407,1,药,藥,yào ,(N),medicine
,408,1,眼镜,眼鏡,yǎnjìng ,(N),glasses
,409,1,痛,痛,tòng ,(VS),pain
,410,1,想,想,xiǎng ,(VA),think
,411,1,希望,希望,xīwàng ,(VS),hope
,412,1,便宜,便宜,piányi ,(VS),cheap
,413,1,贵,貴,guì ,(VS),expensive
,414,1,容易,容易,róngyì ,(VS),easy
,415,1,难,難,nán ,(VS),disaster
,416,1,要,要,yào ,(VA),want
,417,1,好吃,好吃,hǎochī ,(VS),tasty
,418,1,商店,商店,shāngdiàn ,(N),shop
,419,1,店,店,diàn ,(N),shop
,420,1,市场,市場,shìchǎng ,(N),market
,421,1,重要,重要,zhòngyào ,(VS),important
,422,1,给,給,gěi ,(VA),give
,423,1,给,給 ,gěi ,(Prep),give 
,424,1,有,有,yǒu ,(VA),have
,425,1,公斤,公斤,gōngjīn ,(M),kilogram
,426,1,颜色,顏色,yánsè ,(N),color
,427,1,黄色,黃色,huángsè ,(N),yellow
,428,1,白色,白色,báisè ,(N),white
,429,1,衣服,衣服,yīfu,(N),clothing
,430,1,袜子,襪子,wàzi ,(N),sock
,431,1,裤子,褲子,kùzi ,(N),pants
,432,1,裙子,裙子,qúnzi ,(N),skirt
,433,1,鞋子,鞋子,xiézi ,(N),shoe
,434,1,双,雙,shuāng ,(M),pair
,435,1,大,大,dà ,(VS),big
,436,1,长,長,cháng ,(VS),long
,437,1,小,小,xiǎo ,(VS),small
,438,1,短,短,duǎn ,(VS),short
,439,1,新,新,xīn ,(VS),new
,440,1,钱,錢,qián ,(N),money
,441,1,元,元,yuán ,(M),yuan
,442,1,比,比,bǐ ,(Prep),compare
,443,1,多少,多少,duōshǎo ,(Adv),how many
,444,1,小心,小心,xiǎoxīn ,(VS),careful
,445,1,一样,一樣,yīyàng ,(VS),same
,446,1,牛奶,牛奶,niúnǎi ,(N),milk
,447,1,肉,肉,ròu ,(N),meat
,448,1,蛋,蛋,dàn ,(N),egg
,449,1,菜,菜,cài ,(N),vegetable
,450,1,饺子,餃子,jiǎozi ,(N),dumpling
,451,1,饭,飯,fàn ,(N),meal
,452,1,面,麵,miàn ,(N),noodle
,453,1,汤,湯,tāng ,(N),soup
,454,1,包子,包子,bāozi ,(N),steamed stuffed bun
,455,1,蛋糕,蛋糕,dàngāo ,(N),cake
,456,1,面包,麵包,miànbāo ,(N),bread
,457,1,水果,水果,shuǐguǒ ,(N),fruit
,458,1,苹果,蘋果,píngguǒ ,(N),apple
,459,1,香蕉,香蕉,xiāngjiāo ,(N),banana
,460,1,食物,食物,shíwù ,(N),food
,461,1,饮料,飲料,yǐnliào ,(N),drinks
,462,1,果汁,果汁,guǒzhī ,(N),juice
,463,1,酒,酒,jiǔ ,(N),liquor
,464,1,杯,杯,bēi ,(M),cup
,465,1,杯子,杯子,bēizi ,(N),cup
,466,1,请,請,qǐng ,(VA),please
,467,1,吃,吃,chī ,(VA),eat
,468,1,喝,喝,hē ,(VA),drink
,469,1,多,多,duō ,(VS),many
,470,1,多,多 ,duō ,(Adv),many 
,471,1,少,少,shǎo ,(VS),few
,472,1,甜,甜,tián ,(VS),sweet
,473,1,菜单,菜單,càidān ,(N),menu
,474,1,巧克力,巧克力,qiǎokèlì ,(N),chocolate
,475,1,几,幾,jǐ ,(Det),several
,476,1,块,塊,kuài ,(M),piece
,477,1,碗,碗,wǎn ,(N),bowl
,478,1,盘子,盤子,pánzi ,(N),plate
,479,1,片,片,piàn ,(M),piece
,480,1,瓶,瓶,píng ,(M),bottle
,481,1,件,件,jiàn ,(M),part
,482,1,一半/一半儿,一半/一半兒,yībàn/yībànr,(Det),half/half
,483,1,因为,因為,yīnwèi ,(Conj),because
,484,1,所以,所以,suǒyǐ ,(Conj),so
,485,1,可是,可是,kěshì ,(Conj),but
,486,1,和,和,hé ,(Conj),and
,487,1,跟,跟,gēn ,(Conj),and
,488,1,一起,一起,yīqǐ ,(Adv),together
,489,1,没,沒,méi ,(Adv),without
,490,1,不,不,bù,(Adv),no
,491,1,也,也,yě ,(Adv),also
,492,1,都,都,dōu ,(Adv),all
,493,1,只,只,zhǐ,(Adv),only
,494,1,得,得,dé,(P),have to
,495,1,了,了,le,(P),be
,496,1,着,著,zhe ,(P),be
,497,1,过,過 ,guò ,(P),pass 
,498,1,还是,還是,háishì ,(Conj),still
,499,1,可能,可能,kěnéng ,(Adv),possible
,500,1,一定,一定,yīdìng ,(Adv),must
,501,2,出生,出生,chūshēng ,(VA),born
,502,2,国,國,guó ,(N),country
,503,2,不同,不同,bùtóng ,(VS),different
,504,2,地址,地址,dìzhǐ,(N),address
,505,2,市,市,shì,(N),city
,506,2,传真,傳真,chuánzhēn ,(N),fax
,507,2,留言,留言,liú​yán,(VA),message
,508,2,日期,日期,rìqí ,(N),date
,509,2,时间,時間,shíjiān ,(N),time
,510,2,钟头,鐘頭,zhōngtóu ,(N),hour
,511,2,晚,晚,wǎn ,(N),night
,512,2,夜,夜,yè ,(N),night
,513,2,礼拜,禮拜,lǐbài ,(N),worship
,514,2,礼拜天,禮拜天,lǐbàitiān ,(N),day by day
,515,2,前天,前天,qiántiān ,(N),the day before yesterday
,516,2,后天,後天,hòutiān ,(N),the day after tomorrow
,517,2,从前,從前,cóngqián ,(N),formerly
,518,2,夏,夏,xià ,(N),summer
,519,2,冬,冬,dōng ,(N),winter
,520,2,秋,秋,qiū ,(N),autumn
,521,2,春,春,chūn ,(N),spring
,522,2,一会儿,一會兒,yīhuǐér ,(N),for a while
,523,2,不久,不久,bùjiǔ ,(N),soon
,524,2,刚刚,剛剛,gānggāng ,(Adv),just
,525,2,刚才,剛才,gāngcái ,(N),just now
,526,2,当然,當然,dāngrán ,(Adv),certainly
,527,2,自己,自己,zìjǐ ,(N),own
,528,2,别人,別人,biérén ,(N),other people
,529,2,年纪,年紀,niánjì ,(N),age
,530,2,男人,男人,nánrén ,(N),man
,531,2,女人,女人,nǚrén ,(N),woman
,532,2,大人,大人,dàrén ,(N),adult
,533,2,老人,老人,lǎorén ,(N),elder
,534,2,习惯,習慣,xíguàn ,(N),habit
,535,2,习惯,習慣 ,xíguàn ,(VS),habit 
,536,2,家庭,家庭,jiātíng ,(N),family
,537,2,父亲,父親,fùqīn ,(N),father
,538,2,母亲,母親,mǔqīn ,(N),mother
,539,2,父母,父母,fùmŭ ,(N),parents
,540,2,爷爷,爺爺,yéye,(N),grandfather
,541,2,奶奶,奶奶,nǎinai ,(N),grandmother
,542,2,关系,關係,guānxì ,(N),relation
,543,2,教堂,教堂,jiàotáng ,(N),church
,544,2,好,好 ,hǎo ,(VS),good 
,545,2,真,真 ,zhēn ,(VS),real 
,546,2,最,最,zuì ,(Adv),most
,547,2,更,更,gèng ,(Adv),even
,548,2,愉快,愉快,yúkuài ,(VS),joy
,549,2,开心,開心,kāixīn ,(VS),happy
,550,2,着急,著急,zhāojí ,(VS),in a hurry
,551,2,担心,擔心,dānxīn ,(VS),worry
,552,2,生气,生氣,shēngqì ,(VS),angry
,553,2,怕,怕,pà ,(VS),afraid
,554,2,哭,哭,kū ,(VA),cry
,555,2,难过,難過,nánguò ,(VS),sad
,556,2,伤心,傷心,shāngxīn ,(VS),sad
,557,2,美,美,měi ,(VS),beautiful
